0.705 40.66 0.203 -0.1673 0.0208 -0.0453 -0.0067 -0.0018 -0.2003 -0.2025
0.855 52.18 0.418 -0.1881 0.0228 -0.0245 -0.0123 -0.0034 -0.2054 -0.2087
4.000 15.43 1.000 -0.2149 0.0254 -0.0260 -0.0046 -0.0055 -0.2255 -0.2277
4.000 23.82 2.000 -0.2374 0.0275 0.0018 -0.0107 -0.0096 -0.2285 -0.2322
4.000 32.45 3.000 -0.2511 0.0287 0.0300 -0.0180 -0.0128 -0.2232 -0.2292
4.000 42.91 4.000 -0.2611 0.0296 0.0623 -0.0265 -0.0150 -0.2106 -0.2200
6.000 14.93 2.000 -0.2374 0.0275 -0.0097 -0.0062 -0.0089 -0.2348 -0.2371
6.000 19.40 3.000 -0.2511 0.0287 0.0092 -0.0103 -0.0121 -0.2355 -0.2390
6.000 23.96 4.000 -0.2611 0.0296 0.0284 -0.0149 -0.0146 -0.2326 -0.2376
6.000 28.95 5.000 -0.2689 0.0303 0.0490 -0.0200 -0.0166 -0.2263 -0.2334
6.000 34.76 6.000 -0.2754 0.0308 0.0718 -0.0257 -0.0181 -0.2165 -0.2261
