1.419,0.05,1055.28,10.48,493.93
1.419,0.05,1055.28,10.48,556.1
1.419,0.05,1055.28,10.48,583.05
1.419,0.05,1055.28,10.48,583.05
1.419,0.05,1055.28,10.48,599.95
1.419,0.05,1055.28,10.48,599.95
2.109,0.15,1691.99,11.77,615.69
2.109,0.15,1691.99,11.77,647.85
2.109,0.15,1691.99,11.77,647.85
2.109,0.15,1691.99,11.77,697.99
2.109,0.15,1691.99,11.77,697.99
2.109,0.15,1691.99,11.77,726.87
2.109,0.15,1691.99,11.77,726.87
2.109,0.25,1638.7,15.46,706.89
2.109,0.25,1638.7,15.46,758.24
2.109,0.25,1638.7,15.46,758.24
2.109,0.25,1638.7,15.46,808.23
2.109,0.25,1638.7,15.46,808.23
2.109,0.25,1638.7,15.46,834.12
2.109,0.25,1638.7,15.46,834.12
2.109,0.31,1658.31,17.12,664.52
2.109,0.31,1658.31,17.12,738.39
2.109,0.31,1658.31,17.12,795.37
2.109,0.31,1658.31,17.12,795.37
2.109,0.31,1658.31,17.12,824.45
2.109,0.31,1658.31,17.12,824.45
2.109,0.31,1658.31,17.12,840.48
2.109,0.31,1658.31,17.12,840.48
2.109,0.35,1585.41,18.62,723.69
2.109,0.35,1585.41,18.62,808.93
2.109,0.35,1585.41,18.62,874.74
2.109,0.35,1585.41,18.62,874.74
2.109,0.35,1585.41,18.62,908.37
2.109,0.35,1585.41,18.62,908.37
2.109,0.35,1585.41,18.62,926.91
2.109,0.35,1585.41,18.62,926.91
2.109,0.45,1532.12,21.51,886.59
2.109,0.45,1532.12,21.51,956.82
2.109,0.45,1532.12,21.51,956.82
2.109,0.45,1532.12,21.51,992.83
2.109,0.45,1532.12,21.51,992.83
